Purchase_ID,Vendor_Name,Category,Sub_Category,Spend_Amount_INR,Purchase_Date,Region,Payment_Terms,Delivery_Time_Days,Quality_Score,Vendor_Score
PO-10980,"Dean, Johnson and Oneill",Hardware,Laptops,1575016.0,2024-06-28,North,Net 45,38,10,100
PO-10981,Williams-Mendez,Software,Cybersecurity,510452.64,2023-06-24,North,Advance,32,8,67
PO-10982,"Hinton, Spears and Parker",Maintenance,Support Services,122909.51,2023-09-28,West,Advance,24,5,65
PO-10983,Watts Ltd,Software,Licensing,789106.52,2023-05-05,International,Net 30,42,6,86
PO-10984,Ray Inc,Consultancy,Process Automation,772001.28,2025-03-22,East,Net 30,35,7,89
PO-10985,"Hayes, Walton and Murphy",Consultancy,Audit Services,1671058.43,2023-10-08,East,On Delivery,48,5,98
PO-10986,Garcia Ltd,Software,SaaS Subscriptions,1259078.45,2023-02-03,North,Advance,42,8,66
PO-10987,Ortiz-Edwards,Software,Cybersecurity,339843.14,2022-11-08,East,Net 30,29,9,69
PO-10988,Thomas LLC,Consultancy,Audit Services,1819100.86,2025-01-06,East,On Delivery,9,10,94
PO-10989,Sparks and Sons,Cloud,Azure,1033101.49,2025-10-03,International,Net 45,28,6,71
PO-10990,Randall-Hart,Software,Cybersecurity,1753167.77,2025-02-07,International,Advance,34,7,67
PO-10991,Delacruz Group,Software,Cybersecurity,1888554.89,2023-10-31,West,Advance,50,7,88
PO-10992,Baker-Wagner,Consultancy,Digital Transformation,1766314.96,2023-04-26,North,Net 30,18,7,72
PO-10993,Warren-Elliott,Maintenance,Support Services,1786375.02,2023-01-23,East,Net 45,40,5,90
PO-10994,Coleman-Haynes,Consultancy,Digital Transformation,116366.26,2024-11-03,West,Net 30,52,5,81
PO-10995,"Smith, Rodriguez and Kaufman",Hardware,Networking,923201.17,2024-11-19,West,On Delivery,27,6,92
PO-10996,Mccall-Nunez,Hardware,Servers,697119.07,2023-07-06,South,Net 45,47,9,78
PO-10997,Novak-Hughes,Consultancy,IT Strategy,1294653.47,2024-06-28,East,Advance,39,9,83
PO-10998,Conrad-Cox,Software,Licensing,992389.49,2022-12-08,West,On Delivery,45,10,79
PO-10999,"Pearson, Moses and White",Cloud,Google Cloud,1822074.93,2024-05-28,North,Advance,16,5,89
PO-11000,Mack-Bell,Hardware,Peripherals,890773.1,2024-01-03,International,Net 30,6,10,88
PO-11001,Cain-Holt,Software,ERP Systems,1239969.83,2024-11-29,South,Net 30,20,9,65
PO-11002,"Estrada, Gonzalez and Lewis",Maintenance,Repair,1418548.85,2023-01-18,International,Advance,54,8,98
PO-11003,"Perez, Lawrence and Watts",Cloud,Azure,708649.03,2024-06-25,International,Advance,12,8,69
PO-11004,Walters Group,Maintenance,System Upgrades,1527917.98,2025-09-14,West,Net 30,5,8,70
PO-11005,"Carson, Perry and Hogan",Consultancy,Audit Services,162677.65,2024-01-29,International,On Delivery,38,6,71
PO-11006,Richard Group,Maintenance,Repair,1138616.9,2025-02-02,West,Net 30,51,8,61
PO-11007,Rollins-Sanchez,Hardware,Laptops,1112077.89,2023-07-27,South,On Delivery,6,8,85
PO-11008,Proctor and Sons,Hardware,Storage Devices,182801.56,2023-06-26,International,On Delivery,12,5,78
PO-11009,Howard-Taylor,Cloud,Azure,300029.16,2024-10-17,North,On Delivery,27,5,84
PO-11010,Potts-Lewis,Maintenance,Repair,1767844.88,2024-02-12,East,Advance,35,5,76
PO-11011,Potts LLC,Cloud,AWS,1038451.13,2023-12-29,International,On Delivery,37,7,98
PO-11012,"Lynch, Morgan and Henderson",Maintenance,Support Services,785109.6,2025-07-05,West,Net 30,5,7,69
PO-11013,Bennett-Wilcox,Software,CRM Tools,1943485.83,2024-04-15,West,Net 45,30,10,68
PO-11014,White Group,Hardware,Peripherals,112334.26,2023-01-06,International,On Delivery,6,8,65
PO-11015,Mayer PLC,Software,SaaS Subscriptions,995405.85,2024-02-22,West,On Delivery,52,5,94
PO-11016,King PLC,Software,Licensing,1621879.43,2025-09-21,West,Advance,34,6,95
PO-11017,Jackson Group,Software,ERP Systems,229907.01,2023-09-02,South,Net 45,21,5,70
PO-11018,Rodriguez-Richardson,Hardware,Peripherals,1976011.56,2025-09-08,West,Net 30,28,9,88
PO-11019,"Schmidt, Bates and James",Hardware,Laptops,745260.33,2024-02-17,West,Net 30,45,6,94
PO-11020,Morton-Haynes,Software,CRM Tools,1789251.27,2023-01-06,East,Advance,21,9,89
PO-11021,Williams-Carter,Cloud,AWS,1704337.76,2023-09-28,East,Net 45,24,10,83
PO-11022,Martinez-Brady,Software,ERP Systems,1511615.67,2025-01-30,South,Net 30,28,10,94
PO-11023,Diaz Ltd,Maintenance,Repair,568400.12,2024-05-04,East,Advance,44,7,98
PO-11024,Adams-Daniel,Maintenance,System Upgrades,1501595.73,2024-05-09,West,Net 45,26,8,67
PO-11025,Juarez Inc,Cloud,Google Cloud,1985817.11,2025-04-15,North,Net 45,54,5,64
PO-11026,"Burke, Mathis and Wood",Maintenance,System Upgrades,1570250.75,2022-11-25,International,Advance,39,6,62
PO-11027,Jimenez-Miller,Consultancy,Process Automation,1250558.45,2023-08-18,East,Advance,10,9,73
PO-11028,Campbell Group,Hardware,Storage Devices,337900.48,2025-01-31,International,On Delivery,5,9,66
PO-11029,Contreras-Frederick,Maintenance,System Upgrades,78378.54,2025-05-06,West,Net 45,19,5,85
PO-11030,Santiago LLC,Consultancy,Digital Transformation,1112558.28,2024-01-26,North,Net 30,13,5,100
PO-11031,"Hunter, King and Collins",Consultancy,Digital Transformation,1288527.76,2022-12-23,International,Advance,40,5,100
PO-11032,Johnson Group,Consultancy,Digital Transformation,627151.76,2025-10-27,West,Advance,47,10,83
PO-11033,Payne Ltd,Software,Cybersecurity,971046.51,2023-05-08,North,Advance,40,9,68
PO-11034,Wilson Ltd,Software,CRM Tools,1540588.69,2024-07-03,International,Advance,8,8,86
PO-11035,Tran Inc,Software,ERP Systems,599800.63,2024-01-10,West,Net 45,54,6,75
PO-11036,Zamora-Patterson,Consultancy,Audit Services,508236.55,2023-06-13,International,Advance,10,10,71
PO-11037,"Adams, Lewis and Parker",Software,SaaS Subscriptions,1798122.54,2024-09-01,East,Net 30,47,10,67
PO-11038,Henderson-Nguyen,Software,Licensing,284831.71,2024-05-27,International,Advance,57,10,86
PO-11039,Williams-Lane,Hardware,Laptops,1790510.73,2025-06-15,West,Net 45,26,7,83
PO-11040,Rivera LLC,Hardware,Networking,981913.21,2022-11-21,North,Net 45,21,9,64
PO-11041,"Griffin, Dixon and Hansen",Maintenance,Training,271694.38,2024-01-12,East,Net 45,3,10,74
PO-11042,"Perkins, Smith and Ball",Hardware,Storage Devices,566200.13,2024-09-06,East,On Delivery,8,5,85
PO-11043,Dominguez PLC,Maintenance,Training,1060450.25,2023-11-21,East,Net 45,18,7,73
PO-11044,"Singh, Evans and Phelps",Software,Licensing,1037179.1,2025-06-12,South,Net 30,9,5,70
PO-11045,Reynolds-Robinson,Hardware,Servers,1894170.77,2023-08-17,North,Net 30,54,5,74
PO-11046,Rasmussen-Melendez,Software,SaaS Subscriptions,1735807.99,2024-09-29,International,On Delivery,57,10,76
PO-11047,Lewis-Wright,Cloud,Azure,704573.73,2024-05-03,West,Net 45,58,7,67
PO-11048,Obrien-Smith,Maintenance,Support Services,454109.88,2025-10-25,West,Net 45,56,9,92
PO-11049,"Burgess, Murray and Miller",Maintenance,Repair,233212.0,2023-02-09,East,Advance,11,9,74
PO-11050,"Holmes, Arellano and Hudson",Consultancy,Audit Services,352122.78,2023-02-18,South,Advance,12,6,70
PO-11051,Ramos-Hill,Consultancy,Digital Transformation,1576954.89,2023-10-11,International,On Delivery,12,6,76
PO-11052,James Inc,Cloud,Private Cloud,335256.27,2024-04-20,East,Net 30,40,5,97
PO-11053,Cunningham-Mcclain,Consultancy,Digital Transformation,568793.5,2025-04-01,International,Net 45,40,5,86
PO-11054,"Grant, Bailey and Shaw",Hardware,Peripherals,825283.55,2024-12-25,West,Advance,38,5,83
PO-11055,Gregory-Kelley,Cloud,Google Cloud,162044.99,2025-06-13,East,Net 30,52,5,66
PO-11056,"Wells, Bell and Perkins",Maintenance,Training,988637.16,2024-10-03,North,Net 30,57,7,93
PO-11057,Burns-Valenzuela,Cloud,Google Cloud,1326360.79,2023-11-30,West,Net 30,26,7,73
PO-11058,Wilson-Torres,Consultancy,Audit Services,549584.69,2023-07-24,International,Net 30,37,6,87
PO-11059,Fox and Sons,Cloud,Private Cloud,765118.77,2025-06-22,International,On Delivery,10,6,97
PO-11060,"Tran, Cline and Harding",Hardware,Peripherals,1321461.58,2023-07-09,South,Net 30,36,9,94
PO-11061,Lewis-Green,Maintenance,Training,1707639.72,2022-11-16,International,Net 30,45,5,98
PO-11062,Phillips-Sanders,Consultancy,IT Strategy,1478258.85,2025-05-30,East,Net 30,47,5,88
PO-11063,Decker Ltd,Cloud,Private Cloud,1141887.7,2024-08-10,North,On Delivery,5,7,82
PO-11064,"Dixon, Martinez and Mills",Hardware,Storage Devices,829266.68,2023-09-16,South,On Delivery,8,9,85
PO-11065,"Turner, Wilson and Wright",Maintenance,Training,1414950.61,2023-09-23,West,On Delivery,8,9,61
PO-11066,"Barajas, Fry and Atkinson",Maintenance,System Upgrades,440000.36,2025-04-02,East,Net 30,21,6,72
PO-11067,Lawson and Sons,Consultancy,IT Strategy,1357629.37,2023-06-09,East,Advance,13,7,80
PO-11068,Anderson-Greene,Maintenance,Training,1149617.44,2025-10-14,North,On Delivery,23,5,81
PO-11069,"Kennedy, Adkins and Jones",Cloud,Azure,207293.28,2023-08-11,West,Net 30,38,9,95
PO-11070,"Miller, Duran and Owens",Software,CRM Tools,368795.42,2025-01-08,International,Advance,50,7,69
PO-11071,Thomas and Sons,Maintenance,Support Services,1124939.06,2024-11-08,East,On Delivery,30,8,80
PO-11072,Campos LLC,Hardware,Servers,311719.9,2025-06-06,East,Net 45,21,8,74
PO-11073,Chapman-Simmons,Maintenance,System Upgrades,226431.89,2023-01-18,West,On Delivery,18,8,85
PO-11074,Butler Group,Software,ERP Systems,558580.35,2023-09-20,South,On Delivery,33,7,75
PO-11075,"Hardy, Rich and Ramirez",Maintenance,Support Services,1659911.71,2025-09-01,West,Net 30,23,7,97
PO-11076,Mitchell-Jones,Hardware,Laptops,433871.96,2024-11-12,West,Net 30,36,10,93
PO-11077,"Phillips, Lopez and Donaldson",Maintenance,Support Services,286632.74,2024-07-28,South,On Delivery,47,5,76
PO-11078,"Brown, Martinez and Holland",Maintenance,Repair,1828863.65,2024-05-01,East,Net 45,33,10,65
PO-11079,Carter Inc,Hardware,Servers,1873801.87,2023-06-15,West,Net 30,30,8,61
PO-11080,Robertson-Burke,Hardware,Peripherals,843011.17,2024-08-03,East,On Delivery,56,9,97
PO-11081,"Ware, Mckenzie and Mccarthy",Maintenance,Repair,746801.3,2024-03-22,International,Advance,53,9,92
PO-11082,Flores-Obrien,Consultancy,Digital Transformation,1599905.19,2025-07-07,East,Net 45,31,9,72
PO-11083,Clark-Miller,Cloud,AWS,961904.13,2024-05-06,South,Advance,53,10,98
PO-11084,"Hoffman, Nelson and Burns",Hardware,Networking,1796924.6,2024-06-09,South,Net 45,40,6,95
PO-11085,Swanson Group,Cloud,AWS,648751.5,2025-08-15,East,On Delivery,47,9,74
PO-11086,"Torres, Bentley and Burns",Consultancy,IT Strategy,69147.67,2022-12-15,International,Net 45,49,8,89
PO-11087,Mosley-Taylor,Software,Licensing,1243372.69,2024-10-16,International,Net 30,54,5,61
PO-11088,"Mcdaniel, Salazar and Mcdonald",Software,SaaS Subscriptions,1459335.34,2023-05-14,East,On Delivery,29,8,91
PO-11089,Cruz-Perez,Cloud,Private Cloud,1545160.33,2024-07-05,South,Net 45,57,9,93
PO-11090,"Jennings, Lowe and Patel",Consultancy,Digital Transformation,866419.83,2025-01-05,North,Net 45,44,8,69
PO-11091,"Walker, Pitts and Watson",Maintenance,Training,1417793.93,2023-01-26,South,Net 45,37,7,88
PO-11092,Palmer-Rosario,Hardware,Storage Devices,382407.0,2025-09-05,International,Net 45,50,9,76
PO-11093,"Orozco, Newman and Barron",Software,Cybersecurity,1004985.23,2024-07-21,International,Net 30,31,5,83
PO-11094,Allen-Hensley,Software,Cybersecurity,1189191.76,2025-05-02,International,Net 45,58,7,100
PO-11095,Tapia Group,Cloud,Azure,1769331.99,2023-08-19,North,Advance,23,10,61
PO-11096,"Warren, Vasquez and Ortiz",Hardware,Laptops,1828532.29,2025-06-05,North,Advance,9,7,63
PO-11097,Kelly-Moreno,Hardware,Storage Devices,1849544.39,2025-06-09,International,Net 30,42,6,81
PO-11098,Vazquez and Sons,Maintenance,Support Services,59890.98,2025-02-27,East,Net 30,17,10,69
PO-11099,"Garcia, Strickland and Jones",Maintenance,System Upgrades,961986.83,2024-01-03,West,Net 30,3,9,61
PO-11100,Harris-Smith,Hardware,Laptops,1380255.03,2025-02-03,South,Net 45,34,10,99
PO-11101,"Hood, Weber and Calhoun",Consultancy,IT Strategy,1849985.78,2023-06-04,South,On Delivery,17,10,93
PO-11102,Castillo-Mcbride,Cloud,AWS,701390.17,2024-02-06,East,Net 30,37,5,69
PO-11103,Price LLC,Maintenance,Support Services,879899.36,2023-12-20,South,Net 45,47,5,64
PO-11104,Alexander-Parsons,Cloud,Private Cloud,1835556.68,2023-03-05,North,Advance,48,7,82
PO-11105,"Garrison, Smith and Hobbs",Software,SaaS Subscriptions,1345155.13,2025-04-11,East,Net 30,14,6,69
PO-11106,Mann-Hawkins,Software,CRM Tools,1250412.34,2025-10-23,West,On Delivery,50,9,81
PO-11107,Grant-Schultz,Maintenance,Training,1937243.06,2023-03-26,International,Net 45,33,7,82
PO-11108,Johnson Ltd,Maintenance,Support Services,211987.07,2023-03-29,North,Net 30,12,9,95
PO-11109,Moon and Sons,Hardware,Storage Devices,469207.42,2024-06-12,North,Net 45,55,8,90
PO-11110,Meyer-Fuller,Consultancy,IT Strategy,1962571.88,2023-03-24,East,Net 45,45,9,81
PO-11111,"Castro, Acosta and Hansen",Cloud,AWS,194408.18,2025-06-04,South,Advance,20,7,66
PO-11112,Campbell-Ali,Cloud,Private Cloud,360510.4,2023-02-21,East,Net 30,35,9,72
PO-11113,Ashley Inc,Maintenance,Support Services,792844.19,2024-12-27,East,Net 45,19,9,72
PO-11114,"Ortiz, Harding and Torres",Cloud,Private Cloud,1164918.85,2024-11-27,International,Net 30,14,8,77
PO-11115,Steele LLC,Software,Licensing,1174822.35,2023-01-29,West,Net 45,55,10,100
PO-11116,Richardson-Hess,Software,Cybersecurity,1774808.3,2024-11-16,North,Advance,42,6,74
PO-11117,"Reyes, Hoffman and Moran",Maintenance,Repair,1413254.29,2023-06-05,North,On Delivery,55,9,84
PO-11118,Welch Ltd,Software,ERP Systems,374837.15,2025-10-24,South,Net 30,12,10,95
PO-11119,Schaefer-Nunez,Hardware,Laptops,1759687.57,2023-06-30,West,Advance,47,6,61
PO-11120,Nelson Ltd,Software,CRM Tools,702721.24,2025-05-14,South,Net 30,54,7,87
PO-11121,"White, Grant and Holmes",Software,ERP Systems,886449.24,2023-07-05,International,On Delivery,46,8,91
PO-11122,Moran-Mosley,Hardware,Storage Devices,847038.53,2023-08-04,South,On Delivery,49,8,68
PO-11123,"Rojas, Weaver and Mendez",Consultancy,IT Strategy,586899.73,2023-08-11,East,Net 45,23,9,81
PO-11124,"Moore, Lane and Pacheco",Maintenance,Training,502185.4,2025-07-12,North,On Delivery,51,6,97
PO-11125,"Hart, Murray and Lopez",Cloud,AWS,626494.14,2023-07-06,International,Advance,28,9,78
PO-11126,Johnson-Thompson,Software,SaaS Subscriptions,370367.44,2023-05-03,International,Net 45,56,6,72
PO-11127,"Nelson, Miller and Roberts",Cloud,Private Cloud,318870.75,2025-10-08,International,On Delivery,5,7,64
PO-11128,Waters-Schaefer,Software,ERP Systems,135397.81,2025-02-18,International,Net 30,14,10,66
PO-11129,Wilson-Cruz,Consultancy,Process Automation,969985.87,2025-04-28,North,Advance,8,8,79
PO-11130,"Ruiz, Woods and Sanchez",Hardware,Laptops,1200553.41,2023-01-19,International,Net 30,25,5,96
PO-11131,Freeman-Carr,Software,CRM Tools,1764245.99,2025-06-09,International,Advance,33,10,97
PO-11132,"Savage, Rivers and Myers",Consultancy,Process Automation,1284662.12,2022-12-27,International,Advance,14,5,61
PO-11133,Phillips PLC,Software,Licensing,237922.91,2023-05-03,West,Advance,48,7,85
PO-11134,Gonzalez-Smith,Maintenance,Training,1397931.79,2023-01-24,North,Advance,59,10,79
PO-11135,Pacheco LLC,Hardware,Laptops,92054.19,2025-03-31,North,Net 30,36,9,97
PO-11136,Baker-Saunders,Consultancy,Process Automation,1652206.5,2024-01-22,International,Advance,10,7,87
PO-11137,"Thompson, Burgess and Tyler",Cloud,Private Cloud,428175.0,2023-11-13,North,On Delivery,21,9,64
PO-11138,Jones Inc,Cloud,Private Cloud,1292345.01,2025-10-25,International,Net 30,45,5,85
PO-11139,Torres Inc,Hardware,Networking,561996.49,2025-09-10,West,Net 45,53,8,70
PO-11140,Cox-Hamilton,Consultancy,IT Strategy,753383.17,2023-09-16,International,Net 30,54,6,62
PO-11141,"Evans, Johnson and Arnold",Maintenance,Repair,1109180.84,2022-11-11,East,Net 30,3,10,79
PO-11142,Brown Ltd,Software,Licensing,1954098.31,2023-04-05,East,Net 45,49,7,76
PO-11143,Williams and Sons,Consultancy,Digital Transformation,917556.56,2022-11-26,West,Advance,37,9,76
PO-11144,Spence Inc,Consultancy,Audit Services,862386.66,2024-09-28,East,Net 45,40,7,65
PO-11145,Fischer-Howard,Hardware,Servers,1629452.18,2024-05-07,East,Net 30,19,7,68
PO-11146,"Sexton, Hutchinson and Golden",Consultancy,Digital Transformation,1656657.11,2023-05-06,International,On Delivery,31,6,85
PO-11147,Moore-Gates,Cloud,Private Cloud,450291.17,2023-06-12,East,Net 30,38,9,93
PO-11148,Farmer-Jones,Software,CRM Tools,1801326.19,2025-03-27,North,Net 45,60,6,87
PO-11149,Lozano Ltd,Hardware,Networking,1398648.31,2023-01-31,South,Net 30,18,9,69
PO-11150,"Stevens, Cruz and Smith",Software,ERP Systems,1881126.06,2024-04-14,International,Net 30,28,8,67
PO-11151,Wood Inc,Cloud,Private Cloud,297155.42,2025-06-16,South,Advance,18,10,76
PO-11152,Santos-Suarez,Software,SaaS Subscriptions,1434404.22,2025-10-09,International,Net 45,39,7,85
PO-11153,"Thompson, Booker and Rice",Consultancy,Process Automation,1315637.16,2024-05-09,South,Net 30,5,7,98
PO-11154,"Manning, Nelson and Harvey",Consultancy,Digital Transformation,1114575.52,2025-04-17,East,Advance,36,9,61
PO-11155,Sanchez-Harvey,Software,SaaS Subscriptions,1906745.57,2024-09-01,North,Advance,20,6,91
PO-11156,Hernandez-Terry,Cloud,Google Cloud,1049509.53,2023-08-24,East,Net 45,21,9,88
PO-11157,Young-Leonard,Software,ERP Systems,852138.05,2025-07-23,International,On Delivery,11,7,90
PO-11158,West-Scott,Software,Cybersecurity,1676043.39,2024-06-27,International,Net 30,33,5,60
PO-11159,"Gibson, Williams and Davis",Hardware,Peripherals,921998.79,2024-11-27,East,Advance,16,6,67
PO-11160,"Abbott, Petty and Sandoval",Software,ERP Systems,875009.1,2023-07-24,East,Net 30,32,5,75
PO-11161,Giles-Crawford,Consultancy,IT Strategy,1031812.2,2023-05-14,International,Net 45,34,9,87
PO-11162,"Ramirez, Marsh and Morris",Hardware,Laptops,809016.97,2024-12-09,East,Net 30,7,8,68
PO-11163,Trevino PLC,Software,Licensing,530936.5,2024-12-31,South,Net 30,16,10,65
PO-11164,Davis-Knight,Software,ERP Systems,550509.67,2023-07-04,North,Advance,53,6,94
PO-11165,Liu-Welch,Software,CRM Tools,1553771.38,2022-11-17,North,On Delivery,9,8,68
PO-11166,Miller and Sons,Hardware,Peripherals,1241553.8,2025-04-12,West,Advance,38,8,88
PO-11167,Briggs-Travis,Hardware,Storage Devices,1010347.0,2023-12-26,West,Net 30,26,7,87
PO-11168,"Carpenter, Herring and Flores",Hardware,Peripherals,1682797.24,2023-07-02,East,On Delivery,45,7,92
PO-11169,Marshall Inc,Maintenance,Support Services,1124984.63,2024-10-15,South,On Delivery,22,9,71
PO-11170,Fleming-Hayes,Maintenance,Repair,403160.65,2024-01-26,East,Net 30,15,8,83
PO-11171,Washington-Holland,Hardware,Networking,1709492.62,2025-05-22,North,Advance,30,8,81
PO-11172,"Kelly, Monroe and Ross",Hardware,Storage Devices,1774008.7,2023-04-17,East,Advance,50,10,95
PO-11173,Martinez PLC,Hardware,Peripherals,1874942.52,2023-09-07,North,Net 45,26,8,81
PO-11174,Rodgers-Ryan,Software,Cybersecurity,121367.53,2023-08-17,International,Net 30,42,8,73
PO-11175,Cruz-Martin,Hardware,Networking,517295.13,2023-12-19,International,Net 45,51,6,77
PO-11176,Petersen Ltd,Cloud,Private Cloud,733912.01,2023-03-09,East,Net 45,33,10,60
PO-11177,Lutz-Rogers,Hardware,Laptops,800687.51,2024-08-07,International,Net 45,6,7,72
PO-11178,Barry-Crawford,Hardware,Storage Devices,678922.05,2023-04-25,International,Advance,36,5,82
PO-11179,Rodriguez-Watson,Hardware,Peripherals,406805.15,2024-10-14,West,Net 30,54,7,75
PO-11180,Walls-Moss,Cloud,AWS,1923469.49,2024-01-25,East,Net 30,3,5,71
PO-11181,Freeman and Sons,Software,CRM Tools,1392046.88,2024-06-17,South,Net 30,5,10,83
PO-11182,Park PLC,Hardware,Networking,1403108.29,2025-03-05,South,Advance,27,8,74
PO-11183,"Johnson, Reyes and Fowler",Hardware,Laptops,1641776.92,2024-09-05,East,On Delivery,22,9,63
PO-11184,Chung Inc,Software,Cybersecurity,525191.15,2025-09-15,South,Net 45,11,8,98
PO-11185,Davidson and Sons,Software,SaaS Subscriptions,1431010.15,2025-04-23,South,Net 45,21,5,99
PO-11186,Lopez-Warren,Maintenance,Support Services,1162639.21,2025-09-06,West,Net 45,50,5,76
PO-11187,"Foster, Pierce and Matthews",Maintenance,Support Services,1927197.5,2024-07-05,West,Net 30,33,7,90
PO-11188,Le-Garrett,Cloud,AWS,746686.33,2024-10-17,International,Net 45,49,10,86
PO-11189,Wang-Long,Software,Cybersecurity,608283.44,2023-08-18,East,Advance,37,7,85
PO-11190,Mckinney-Edwards,Hardware,Storage Devices,448601.3,2023-02-03,West,On Delivery,48,7,89
PO-11191,Duncan-Baker,Maintenance,Training,1857624.03,2024-10-31,West,On Delivery,11,6,97
PO-11192,Price Group,Maintenance,Repair,436940.01,2023-08-16,North,Net 30,50,10,70
PO-11193,White-Vargas,Cloud,Google Cloud,1005686.04,2023-03-08,West,Advance,55,8,65
PO-11194,Cochran-Yang,Cloud,Azure,97543.5,2024-06-19,South,Net 30,27,6,96
PO-11195,"Vega, Caldwell and Dominguez",Cloud,Private Cloud,1108098.63,2022-12-25,East,Net 45,9,6,87
PO-11196,Johnson-Acosta,Maintenance,System Upgrades,468606.29,2024-02-29,South,Net 30,31,8,95
PO-11197,"May, Stein and Jones",Hardware,Networking,1981695.05,2025-04-21,South,Advance,20,5,62
PO-11198,Martinez-Miles,Cloud,Google Cloud,167180.57,2023-05-21,East,Net 30,50,5,86
PO-11199,Ramirez-Glover,Software,ERP Systems,1805224.04,2023-04-14,West,Net 30,51,5,81
PO-11200,Bailey and Sons,Maintenance,Repair,1210542.28,2024-09-05,North,On Delivery,53,6,83
PO-11201,Norris-Wilson,Software,SaaS Subscriptions,1418003.77,2023-08-09,West,On Delivery,30,8,75
PO-11202,Anderson-Cox,Cloud,Private Cloud,646896.66,2023-12-11,West,Net 30,26,7,64
PO-11203,Beard and Sons,Software,Cybersecurity,352538.45,2023-10-16,West,Advance,50,8,90
PO-11204,Church-Hawkins,Consultancy,Audit Services,851974.36,2024-12-29,International,On Delivery,58,5,68
PO-11205,Marshall Group,Software,CRM Tools,240315.66,2024-11-07,North,Net 45,59,5,87
PO-11206,Andrade-Young,Hardware,Laptops,816143.81,2025-02-09,West,On Delivery,44,6,96
PO-11207,Carey-Harrison,Hardware,Servers,393368.01,2023-08-02,East,Advance,44,6,88
PO-11208,Willis-Allen,Maintenance,Support Services,1880133.62,2023-08-19,South,Net 30,21,8,92
PO-11209,"Hoover, Johnston and Frank",Consultancy,Process Automation,1402111.97,2023-07-26,South,Net 45,34,10,98
PO-11210,Hale-Duarte,Maintenance,Support Services,1781143.27,2023-01-01,North,Advance,16,8,63
PO-11211,Lee-Hale,Cloud,AWS,436981.34,2025-02-13,West,Net 30,15,9,78
PO-11212,Morales-Baker,Cloud,Google Cloud,1730710.81,2023-06-11,East,Net 45,54,6,70
PO-11213,"Klein, Jones and Miller",Maintenance,Support Services,859138.74,2025-10-22,South,Net 45,32,8,97
PO-11214,Herring Ltd,Consultancy,Audit Services,551823.52,2025-08-28,West,On Delivery,45,8,63
PO-11215,"Miller, Luna and Davis",Maintenance,Support Services,1153759.24,2025-04-29,North,Advance,11,9,95
PO-11216,Hurst-Alexander,Maintenance,Support Services,459169.17,2024-05-31,North,Advance,24,5,71
PO-11217,Reed Inc,Hardware,Peripherals,325073.62,2023-07-14,West,Advance,4,10,61
PO-11218,Chan Group,Hardware,Peripherals,1680481.43,2024-03-25,North,On Delivery,28,5,92
PO-11219,Fritz LLC,Cloud,Private Cloud,1372904.39,2025-03-02,West,On Delivery,58,9,67
PO-11220,Patel Inc,Cloud,AWS,1878721.0,2023-04-10,South,Net 30,32,9,86
PO-11221,Mcgee Inc,Hardware,Storage Devices,1281087.81,2022-11-06,South,Net 30,41,9,61
PO-11222,Chambers PLC,Cloud,Azure,1490893.23,2023-04-10,West,Net 30,44,8,76
PO-11223,"Thompson, Martinez and Garcia",Hardware,Networking,1027682.81,2023-01-02,West,Net 30,24,5,66
PO-11224,Clements Group,Cloud,Azure,1750382.38,2025-09-12,North,Net 45,9,10,86
PO-11225,Evans PLC,Consultancy,Digital Transformation,1178324.44,2023-06-26,International,Net 30,39,8,77
PO-11226,Sparks Group,Consultancy,IT Strategy,1852808.88,2024-02-29,East,On Delivery,58,10,87
PO-11227,"Rodriguez, Anderson and Hernandez",Software,SaaS Subscriptions,818269.55,2025-09-17,West,Advance,29,7,60
PO-11228,"Barton, Brown and Love",Software,SaaS Subscriptions,1522164.69,2025-02-06,South,Advance,59,10,64
PO-11229,Mcfarland PLC,Maintenance,Support Services,573511.6,2023-01-29,North,On Delivery,29,5,62
PO-11230,"Cowan, Butler and Nelson",Maintenance,Support Services,1504948.95,2023-02-26,West,Advance,29,8,76
PO-11231,Lucas-Lopez,Hardware,Networking,277816.42,2025-10-16,West,Net 45,9,10,94
PO-11232,Duncan-Mora,Hardware,Peripherals,835464.1,2024-10-18,International,Advance,41,10,97
PO-11233,"Bryant, Crosby and Tran",Maintenance,Support Services,1454533.52,2023-03-29,North,On Delivery,40,8,97
PO-11234,"Keller, Wood and Davenport",Cloud,Azure,1415943.01,2023-05-13,International,Net 45,60,9,92
PO-11235,Kirby Inc,Maintenance,System Upgrades,1538898.6,2024-05-31,South,On Delivery,32,8,60
PO-11236,Scott-Crawford,Maintenance,Repair,765551.72,2023-05-26,North,On Delivery,26,9,91
PO-11237,Huerta PLC,Hardware,Networking,526056.69,2024-08-13,South,Net 30,23,9,85
PO-11238,Shah Ltd,Software,SaaS Subscriptions,600698.23,2023-03-08,North,Net 30,60,9,65
PO-11239,"Haley, Smith and Miller",Cloud,Private Cloud,1544195.63,2023-05-06,South,Advance,46,7,89
PO-11240,"Durham, Harrison and Hensley",Cloud,Private Cloud,1227434.28,2023-05-13,West,Net 30,21,6,67
PO-11241,Lambert Inc,Hardware,Storage Devices,1389892.59,2025-05-30,South,Advance,52,6,73
